,DateTime,email,ip,type,useragent
36,2021-10-18T17:20:28.976Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,209.135.134.45,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
37,2021-10-18T20:19:56.503Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,103.11.64.76,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
38,2021-10-18T20:21:44.451Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,107.191.101.76,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
39,2021-10-18T20:24:12.334Z,401ae61fb850b9fbdcdaf5fe70583a827ecfe06150f6fdf628e821fdcaf51288,216.104.38.105,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
40,2021-10-18T20:24:21.066Z,7eb1f75b900a6db23a401648a90817ae2718152055cb8c74f307be08e3857a08,64.34.254.81,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
41,2021-10-18T20:24:23.528Z,2b619e231fada17c583b22a2bbb8853d9ce1713c56b5e94e0f77555b5e41b055,199.195.192.30,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"
42,2021-10-18T20:24:35.951Z,14ba86e6a5e845d742697adcdd91aaf038cee0792ffd723ad4bbee618ca9ff50,198.105.223.137,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
43,2021-10-18T20:24:39.999Z,4f8eaaa91c8c761904411e0f84997f9510d3922f59e31cf396f4aa2c6a992caa,199.101.102.108,Dunkin Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
44,2021-10-18T20:26:31.502Z,7eb1f75b900a6db23a401648a90817ae2718152055cb8c74f307be08e3857a08,162.248.7.7,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
45,2021-10-18T20:26:31.678Z,401ae61fb850b9fbdcdaf5fe70583a827ecfe06150f6fdf628e821fdcaf51288,66.180.164.61,Skyward Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
