DateTime,email,ip,type,useragent
2021-09-11T19:59:26.612Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,76.217.231.72,Google Click,
2021-09-11T20:00:48.257Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,76.217.231.72,Google Click,
2021-09-11T20:00:56.016Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,76.217.231.72,Google Click,
2021-09-15T17:38:02.222Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,12.177.158.100,Google Click,
2021-09-15T17:38:06.019Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,12.177.158.100,Google Click,
2021-09-15T17:47:55.175Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,12.177.158.6,Google Click,
2021-09-15T18:06:57.840Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,12.177.158.6,Google Click,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
2021-09-15T18:07:00.118Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,12.177.158.6,Google Click,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
2021-09-15T18:14:28.081Z,9aaec76ca30e7158bee50e50f30b7b936170616e7a86665c50ba2ec9844c84c9,199.195.192.27,Google Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
2021-09-15T18:16:18.025Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,104.47.55.126,Google Click,null
2021-09-15T18:16:18.456Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,12.177.158.6,Google Click,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
2021-09-15T18:26:42.404Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,104.47.55.126,Google Click,null
2021-09-15T18:26:42.750Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,12.177.158.6,Google Click,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36"
2021-09-16T17:15:55.583Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,54.213.58.209,Google Click,AHC/2.1
2021-09-16T17:15:55.833Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,34.214.34.2,Google Click,AHC/2.1
2021-09-16T17:15:55.853Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,34.221.158.228,Google Click,AHC/2.1
2021-09-16T17:15:55.874Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,34.222.71.166,Google Click,AHC/2.1
2021-09-16T17:16:12.867Z,9aaec76ca30e7158bee50e50f30b7b936170616e7a86665c50ba2ec9844c84c9,204.12.202.215,Google Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
2021-09-16T17:16:20.657Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,12.177.158.6,Google Click,"Mozilla/5.0 (X11; CrOS x86_64 13904.97.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.167 Safari/537.36"
2021-09-16T17:16:28.000Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,64.4.226.164,Google Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36"
2021-09-16T17:16:49.103Z,129d93d8c305a658339e9f33017a7c0344c418887b0753719912225d88457503,209.56.124.133,Google Click,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36"
